imagen,modelo,pixeles_incendio,total_pixeles,porcentaje_incendio
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_26_x128_y192.tiff,model_final.pth,171,16384,1.0437
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_35_x384_y256.tiff,model_final.pth,45,16384,0.2747
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_37_x461_y256.tiff,model_final.pth,10,16384,0.061
16_24_Santa Catarina Ayotzingo_Ciudad de México_bloque_43_x461_y317.tiff,model_final.pth,2,16384,0.0122
16_Cacalutla_Guerrero_bloque_10_x64_y128.tiff,model_final.pth,10383,16384,63.3728
16_Cacalutla_Guerrero_bloque_20_x308_y192.tiff,model_final.pth,2662,16384,16.2476
16_Cacalutla_Guerrero_bloque_2_x192_y0.tiff,model_final.pth,2800,16384,17.0898
16_Dr Domingo Chanona_Chiapas_bloque_16_x192_y128.tiff,model_final.pth,1590,16384,9.7046
16_Dr Domingo Chanona_Chiapas_bloque_2_x128_y0.tiff,model_final.pth,6413,16384,39.1418
16_Dr Domingo Chanona_Chiapas_bloque_7_x0_y64.tiff,model_final.pth,4310,16384,26.3062
16_El Lobo_Querétaro_bloque_22_x128_y230.tiff,model_final.pth,928,16384,5.6641
16_El Lobo_Querétaro_bloque_4_x207_y0.tiff,model_final.pth,593,16384,3.6194
16_El Lobo_Querétaro_bloque_6_x64_y64.tiff,model_final.pth,1188,16384,7.251
16_González2_Tamaulipas_bloque_13_x448_y64.tiff,model_final.pth,4249,16384,25.9338
16_González2_Tamaulipas_bloque_17_x128_y128.tiff,model_final.pth,6683,16384,40.7898
16_González2_Tamaulipas_bloque_24_x0_y192.tiff,model_final.pth,6592,16384,40.2344
16_González2_Tamaulipas_bloque_38_x448_y256.tiff,model_final.pth,7839,16384,47.8455
16_González2_Tamaulipas_bloque_39_x466_y256.tiff,model_final.pth,6383,16384,38.9587
16_González2_Tamaulipas_bloque_43_x448_y320.tiff,model_final.pth,6269,16384,38.2629
16_González2_Tamaulipas_bloque_47_x384_y384.tiff,model_final.pth,9020,16384,55.0537
16_González2_Tamaulipas_bloque_4_x384_y0.tiff,model_final.pth,3742,16384,22.8394
16_González2_Tamaulipas_bloque_50_x256_y402.tiff,model_final.pth,3725,16384,22.7356
16_González2_Tamaulipas_bloque_51_x320_y402.tiff,model_final.pth,8752,16384,53.418
16_González_Tamaulipas_bloque_13_x363_y64.tiff,model_final.pth,5478,16384,33.4351
16_González_Tamaulipas_bloque_1_x64_y0.tiff,model_final.pth,3524,16384,21.5088
